,date,open,close,change,change_rate,real_time,str_price_date,change_rate_new,c_return,all_return,10_days_std,10_days_mean,10_days_std_year,10_days_sharp_ratio
0,2020-07-26,12618.69,12588.3,284.26,2.26,2020-07-27,2020-07-27,0.0226,0.0226,0.0226,,,,
1,2020-07-27,12951.72,12586.73,-1.57,-0.01,2020-07-28,2020-07-28,-0.0001,0.022497739999999933,-0.0001,,,,
2,2020-07-28,12530.74,12540.97,-45.76,-0.36,2020-07-29,2020-07-29,-0.0036,0.018816748135999983,-0.0036,,,,
3,2020-07-29,12691.86,12722.92,181.95,1.43,2020-07-30,2020-07-30,0.0143,0.03338582763434484,0.0143,,,,
4,2020-07-30,12653.46,12664.8,-58.12,-0.46,2020-07-31,2020-07-31,-0.0046,0.0286322528272267,-0.0046,,,,
5,2020-08-02,12642.73,12513.03,-151.77,-1.21,2020-08-03,2020-08-03,-0.0121,0.016185802568017268,-0.0121,,,,
6,2020-08-03,12577.88,12709.92,196.89,1.55,2020-08-04,2020-08-04,0.0155,0.031936682507821564,0.0155,,,,
7,2020-08-04,12762.34,12802.3,92.38,0.72,2020-08-05,2020-08-05,0.0072,0.03936662662187795,0.0072,,,,
8,2020-08-05,12894.24,12913.5,111.2,0.86,2020-08-06,2020-08-06,0.0086,0.04830517961082603,0.0086,,,,
9,2020-08-06,12901.43,12828.87,-84.63,-0.66,2020-08-07,2020-08-07,-0.0066,0.04138636542539453,-0.0066,,,,
10,2020-08-09,12786.8,12894.0,65.13,0.51,2020-08-10,2020-08-10,0.0051,0.04669743588906417,0.0051,,,,
11,2020-08-10,12856.46,12780.19,-113.81,-0.89,2020-08-11,2020-08-11,-0.0089,0.028356606799877507,-0.0089,,,,
12,2020-08-11,12713.63,12670.35,-109.84,-0.87,2020-08-12,2020-08-12,-0.0087,0.03759116819682928,-0.0087,,,,
13,2020-08-12,12758.87,12763.13,92.78,0.73,2020-08-13,2020-08-13,0.0073,0.035863610029516664,0.0073,,,,
14,2020-08-13,12709.97,12795.46,32.33,0.25,2020-08-14,2020-08-14,0.0025,0.038453269054590455,0.0025,,,,
15,2020-08-16,12813.94,12956.11,160.65,1.24,2020-08-17,2020-08-17,0.0124,0.05133008959086727,0.0124,,,,
16,2020-08-17,12974.96,12872.14,-83.97,-0.65,2020-08-18,2020-08-18,-0.006500000000000001,0.0444964440085267,-0.006500000000000001,,,,
17,2020-08-18,12904.84,12778.64,-93.5,-0.73,2020-08-19,2020-08-19,-0.0073,0.03687161996726451,-0.0073,,,,
18,2020-08-19,12764.75,12362.64,-416.0,-3.36,2020-08-20,2020-08-20,-0.0336,0.0020327335363645727,-0.0336,,,,
19,2020-08-20,12462.52,12607.84,245.2,1.94,2020-08-21,2020-08-21,0.0194,0.021472168566970096,0.0194,0.013127411056740456,0.0011450000000000002,0.2083911900855292,1.3846074773198218
