date,open,close,change,change_rate,real_time,str_price_date,change_rate_new,c_return
2020-07-22,12423.02,12413.04,-60.23,-0.49,2020-07-23,2020-07-23,-0.0049,-0.0049
2020-07-23,12467.43,12304.04,-109.0,-0.89,2020-07-24,2020-07-24,-0.0089,-0.013756390000000063
2020-07-26,12618.69,12588.3,284.26,2.26,2020-07-27,2020-07-27,0.0226,0.008532715585999995
2020-07-27,12951.72,12586.73,-1.57,-0.01,2020-07-28,2020-07-28,-0.0001,0.008431862314441485
2020-07-28,12530.74,12540.97,-45.76,-0.36,2020-07-29,2020-07-29,-0.0036,0.004801507610109557
2020-07-29,12691.86,12722.92,181.95,1.43,2020-07-30,2020-07-30,0.0143,0.019170169168934104
2020-07-30,12653.46,12664.8,-58.12,-0.46,2020-07-31,2020-07-31,-0.0046,0.01448198639075704
2020-08-02,12642.73,12513.03,-151.77,-1.21,2020-08-03,2020-08-03,-0.0121,0.0022067543554289415
2020-08-03,12577.88,12709.92,196.89,1.55,2020-08-04,2020-08-04,0.0155,0.017740959047938265
2020-08-04,12762.34,12802.3,92.38,0.72,2020-08-05,2020-08-05,0.0072,0.025068693953083532
2020-08-05,12894.24,12913.5,111.2,0.86,2020-08-06,2020-08-06,0.0086,0.03388428472108007
2020-08-06,12901.43,12828.87,-84.63,-0.66,2020-08-07,2020-08-07,-0.0066,0.02706064844192091
2020-08-09,12786.8,12894.0,65.13,0.51,2020-08-10,2020-08-10,0.0051,0.03229865774897478
2020-08-10,12856.46,12780.19,-113.81,-0.89,2020-08-11,2020-08-11,-0.0089,0.014210132257662433
2020-08-11,12713.63,12670.35,-109.84,-0.87,2020-08-12,2020-08-12,-0.0087,0.023317659426558723
2020-08-12,12758.87,12763.13,92.78,0.73,2020-08-13,2020-08-13,0.0073,0.02161386622314354
2020-08-13,12709.97,12795.46,32.33,0.25,2020-08-14,2020-08-14,0.0025,0.024167900888701244
2020-08-16,12813.94,12956.11,160.65,1.24,2020-08-17,2020-08-17,0.0124,0.03686758285972114
2020-08-17,12974.96,12872.14,-83.97,-0.65,2020-08-18,2020-08-18,-0.006500000000000001,0.03012794357113302
2020-08-18,12904.84,12778.64,-93.5,-0.73,2020-08-19,2020-08-19,-0.0073,0.02260800958306386
2020-08-19,12764.75,12362.64,-416.0,-3.36,2020-08-20,2020-08-20,-0.0336,-0.011751619538927005
2020-08-20,12462.52,12607.84,245.2,1.94,2020-08-21,2020-08-21,0.0194,0.007420399042017856
