,date,open,close,change,change_rate,real_time,str_price_date,change_rate_new,c_return,all_return,all_days_std,all_days_mean,all_days_std_year,all_days_sharp_ratio
0,2020-07-21,12389.76,12473.27,75.72,0.61,2020-07-22,2020-07-22,0.0061,0.0061,0.0061,,,,
1,2020-07-22,12423.02,12413.04,-60.23,-0.49,2020-07-23,2020-07-23,-0.0049,0.001170109999999891,-0.0049,,,,
2,2020-07-23,12467.43,12304.04,-109.0,-0.89,2020-07-24,2020-07-24,-0.0089,-0.007740303979000163,-0.0089,,,,
3,2020-07-26,12618.69,12588.3,284.26,2.26,2020-07-27,2020-07-27,0.0226,0.01468476515107442,0.0226,,,,
4,2020-07-27,12951.72,12586.73,-1.57,-0.01,2020-07-28,2020-07-28,-0.0001,0.014583296674559374,-0.0001,,,,
5,2020-07-28,12530.74,12540.97,-45.76,-0.36,2020-07-29,2020-07-29,-0.0036,0.010930796806530862,-0.0036,,,,
6,2020-07-29,12691.86,12722.92,181.95,1.43,2020-07-30,2020-07-30,0.0143,0.025387107200864237,0.0143,,,,
7,2020-07-30,12653.46,12664.8,-58.12,-0.46,2020-07-31,2020-07-31,-0.0046,0.020670326507740144,-0.0046,,,,
8,2020-08-02,12642.73,12513.03,-151.77,-1.21,2020-08-03,2020-08-03,-0.0121,0.00832021555699658,-0.0121,,,,
9,2020-08-03,12577.88,12709.92,196.89,1.55,2020-08-04,2020-08-04,0.0155,0.02394917889813009,0.0155,,,,
10,2020-08-04,12762.34,12802.3,92.38,0.72,2020-08-05,2020-08-05,0.0072,0.031321612986196616,0.0072,,,,
11,2020-08-05,12894.24,12913.5,111.2,0.86,2020-08-06,2020-08-06,0.0086,0.04019097885787781,0.0086,,,,
12,2020-08-06,12901.43,12828.87,-84.63,-0.66,2020-08-07,2020-08-07,-0.0066,0.033325718397415834,-0.0066,,,,
13,2020-08-09,12786.8,12894.0,65.13,0.51,2020-08-10,2020-08-10,0.0051,0.03859567956124277,0.0051,,,,
14,2020-08-10,12856.46,12780.19,-113.81,-0.89,2020-08-11,2020-08-11,-0.0089,0.02039681406443328,-0.0089,,,,
15,2020-08-11,12713.63,12670.35,-109.84,-0.87,2020-08-12,2020-08-12,-0.0087,0.029559897149059818,-0.0087,,,,
16,2020-08-12,12758.87,12763.13,92.78,0.73,2020-08-13,2020-08-13,0.0073,0.02784571080710374,0.0073,,,,
17,2020-08-13,12709.97,12795.46,32.33,0.25,2020-08-14,2020-08-14,0.0025,0.03041532508412148,0.0025,,,,
18,2020-08-16,12813.94,12956.11,160.65,1.24,2020-08-17,2020-08-17,0.0124,0.04319247511516466,0.0124,,,,
19,2020-08-17,12974.96,12872.14,-83.97,-0.65,2020-08-18,2020-08-18,-0.006500000000000001,0.03641172402691617,-0.006500000000000001,,,,
20,2020-08-18,12904.84,12778.64,-93.5,-0.73,2020-08-19,2020-08-19,-0.0073,0.02884591844151974,-0.0073,,,,
21,2020-08-19,12764.75,12362.64,-416.0,-3.36,2020-08-20,2020-08-20,-0.0336,-0.005723304418115305,-0.0336,,,,
22,2020-08-20,12462.52,12607.84,245.2,1.94,2020-08-21,2020-08-21,0.0194,0.013565663476173384,0.0194,0.01248791194171514,0.0006608695652173912,0.19823945635351195,0.8400907341967307
